face_detected,head_tilt_angle,shoulder_position,posture_label
1,22.84,0.99,Distracted
1,3.66,0.59,Distracted
0,34.87,0.37,Idle
0,34.88,0.17,Idle
1,28.33,0.88,Distracted
1,17.11,0.48,Distracted
1,19.14,0.62,Distracted
1,27.5,0.95,Distracted
1,26.33,0.49,Distracted
0,20.6,0.1,Idle
1,4.93,0.92,Distracted
1,13.15,0.62,Distracted
1,11.03,0.55,Distracted
1,23.68,0.92,Distracted
1,29.32,0.79,Distracted
0,36.29,0.16,Idle
1,5.41,0.72,Working
1,26.43,0.98,Distracted
0,37.12,0.15,Idle
1,15.95,0.93,Distracted
1,14.07,0.64,Distracted
1,14.91,1.0,Distracted
0,35.31,0.16,Idle
1,16.27,0.68,Distracted
1,22.64,0.85,Distracted
1,29.53,0.93,Distracted
1,17.08,0.44,Distracted
1,10.77,0.74,Distracted
1,21.19,0.55,Distracted
1,29.38,0.76,Distracted
1,11.88,0.94,Distracted
1,24.71,0.41,Distracted
1,4.25,0.68,Distracted
1,18.28,0.85,Distracted
1,6.95,0.49,Distracted
0,35.11,0.13,Idle
1,28.26,0.67,Distracted
1,16.53,0.69,Distracted
1,22.3,0.99,Distracted
0,34.2,0.3,Idle
0,33.03,0.21,Idle
1,1.04,0.96,Working
1,25.3,0.68,Distracted
1,13.83,0.4,Distracted
1,28.68,0.91,Distracted
0,37.18,0.12,Idle
1,5.91,0.61,Distracted
1,6.03,0.99,Working
0,39.23,0.34,Idle
1,14.9,0.61,Distracted
1,1.47,0.72,Working
1,19.21,0.78,Distracted
1,26.3,0.65,Distracted
1,15.21,0.85,Distracted
1,6.82,0.51,Distracted
1,23.49,0.74,Distracted
1,23.93,0.75,Distracted
1,14.07,0.74,Distracted
1,25.6,0.88,Working
1,6.76,0.91,Working
1,27.71,0.62,Distracted
1,28.35,0.42,Distracted
1,17.83,0.82,Distracted
1,4.12,0.63,Distracted
1,1.32,0.83,Working
1,0.77,0.97,Working
0,38.55,0.37,Idle
1,5.33,0.79,Working
0,34.29,0.28,Idle
1,1.31,0.79,Working
1,7.13,0.44,Distracted
1,19.13,0.64,Distracted
1,12.2,0.4,Distracted
0,24.37,0.22,Idle
1,18.2,0.65,Distracted
0,24.63,0.22,Idle
1,11.39,0.62,Distracted
1,8.22,0.54,Working
1,15.45,0.63,Distracted
1,6.75,0.8,Working
1,3.27,0.7,Distracted
1,2.92,0.79,Working
1,24.14,0.43,Distracted
0,23.62,0.33,Idle
0,36.69,0.25,Idle
1,18.19,0.79,Distracted
0,24.77,0.12,Idle
1,21.11,0.53,Distracted
1,8.31,0.52,Distracted
1,16.07,0.67,Distracted
0,22.09,0.2,Idle
0,32.96,0.35,Idle
1,2.63,0.81,Working
1,2.96,0.74,Working
1,23.7,0.74,Distracted
1,29.01,0.64,Distracted
1,15.42,0.64,Distracted
1,21.03,0.81,Distracted
1,2.06,0.72,Working
1,16.18,0.78,Distracted
1,6.99,0.82,Working
1,8.79,0.41,Distracted
1,24.58,0.86,Distracted
1,19.22,0.5,Distracted
1,11.88,0.83,Distracted
1,4.1,0.58,Distracted
1,19.54,0.81,Distracted
1,23.88,0.65,Distracted
1,6.79,0.45,Distracted
1,22.6,0.67,Distracted
0,23.22,0.16,Idle
1,7.14,0.82,Working
0,22.9,0.15,Idle
1,6.03,0.8,Working
1,29.82,0.98,Distracted
1,15.38,0.97,Working
1,2.33,0.88,Distracted
1,3.07,0.97,Working
0,24.12,0.11,Idle
1,16.37,0.89,Distracted
1,14.67,0.51,Distracted
1,9.97,0.45,Distracted
1,2.32,0.62,Distracted
1,21.24,0.71,Distracted
1,13.7,0.4,Distracted
1,2.48,0.81,Working
0,35.82,0.21,Idle
1,27.33,0.63,Distracted
1,16.43,0.75,Distracted
0,30.74,0.18,Idle
1,18.76,0.49,Distracted
1,0.62,0.71,Working
1,0.65,0.94,Working
0,24.35,0.27,Idle
1,17.82,0.62,Distracted
1,16.89,0.54,Distracted
1,17.11,0.46,Distracted
1,21.23,0.95,Distracted
1,19.42,0.47,Distracted
1,20.66,0.45,Distracted
1,22.86,0.52,Distracted
0,32.9,0.2,Idle
0,24.37,0.25,Idle
1,2.63,0.8,Working
1,0.88,0.5,Distracted
1,18.94,0.46,Distracted
1,5.98,0.81,Working
0,36.08,0.25,Idle
0,36.33,0.33,Idle
0,35.07,0.15,Idle
1,15.03,1.0,Distracted
1,7.74,0.55,Distracted
1,15.69,0.62,Distracted
1,5.13,0.74,Working
1,20.87,0.66,Distracted
1,24.86,0.56,Distracted
0,28.0,0.33,Idle
1,4.94,0.93,Working
0,29.16,0.32,Idle
1,17.55,0.58,Distracted
0,29.45,0.4,Idle
1,19.64,0.5,Distracted
1,13.79,0.96,Distracted
1,6.6,0.63,Distracted
0,39.31,0.36,Idle
1,22.98,0.62,Distracted
1,11.54,0.8,Distracted
1,16.03,0.91,Distracted
1,11.93,0.92,Distracted
1,27.07,0.4,Distracted
1,9.91,0.45,Distracted
1,5.24,0.64,Distracted
1,1.04,0.97,Working
0,36.77,0.17,Idle
0,37.85,0.12,Idle
0,23.58,0.19,Idle
1,19.53,0.42,Distracted
1,22.19,0.69,Distracted
1,27.03,0.49,Working
1,19.29,0.52,Distracted
1,18.19,0.92,Distracted
0,21.01,0.26,Idle
1,12.06,0.79,Distracted
1,19.26,0.74,Distracted
1,8.54,0.72,Working
0,23.58,0.25,Idle
1,12.45,0.48,Distracted
1,10.9,0.62,Distracted
0,37.49,0.39,Idle
1,13.06,0.71,Distracted
1,19.58,0.79,Distracted
1,19.84,0.85,Distracted
1,6.73,0.6,Distracted
0,26.4,0.14,Idle
1,12.6,0.88,Distracted
1,29.77,0.84,Distracted
0,36.51,0.26,Idle
1,23.93,0.83,Distracted
1,25.37,0.57,Distracted
1,29.15,0.47,Distracted
1,6.93,0.61,Distracted
1,22.2,0.94,Distracted
1,22.1,0.92,Distracted
1,8.1,0.95,Working
1,29.39,0.71,Working
0,27.71,0.13,Idle
0,32.25,0.18,Idle
1,17.82,0.84,Distracted
1,20.86,0.89,Distracted
1,16.74,0.61,Distracted
1,11.47,0.48,Distracted
1,19.52,0.6,Distracted
1,27.29,0.96,Distracted
1,11.39,0.86,Distracted
1,1.63,0.71,Working
1,15.62,0.45,Distracted
1,13.86,0.96,Distracted
1,23.07,0.46,Distracted
1,17.82,0.7,Distracted
0,22.61,0.23,Idle
1,1.23,0.69,Distracted
1,2.54,0.57,Distracted
1,22.99,0.41,Distracted
1,5.5,0.98,Working
1,26.69,0.93,Distracted
1,9.93,0.61,Distracted
1,9.29,0.84,Working
0,31.79,0.29,Idle
1,22.49,0.69,Distracted
1,28.9,0.94,Distracted
1,5.3,0.52,Distracted
0,32.68,0.34,Idle
1,22.56,0.43,Distracted
1,20.64,0.72,Distracted
1,19.57,0.51,Distracted
1,22.15,0.68,Distracted
1,10.09,0.95,Distracted
1,17.41,0.95,Distracted
1,21.22,0.85,Distracted
1,1.94,0.69,Distracted
1,2.22,0.47,Distracted
1,0.63,0.87,Working
1,2.58,0.96,Working
0,39.74,0.18,Idle
1,14.53,0.54,Distracted
1,25.5,0.84,Distracted
1,5.26,0.64,Distracted
0,23.62,0.13,Idle
1,27.69,0.58,Distracted
0,35.26,0.25,Idle
1,24.21,0.96,Distracted
0,29.6,0.25,Idle
1,20.32,0.74,Distracted
1,14.93,0.76,Distracted
1,20.17,0.84,Distracted
0,28.94,0.25,Idle
1,18.57,0.54,Working
0,39.53,0.23,Idle
1,7.55,0.63,Distracted
1,26.11,0.88,Distracted
1,13.47,0.54,Distracted
1,25.79,0.52,Distracted
1,19.3,0.44,Distracted
0,39.48,0.12,Idle
1,23.17,0.55,Working
1,3.73,0.51,Distracted
1,27.1,0.71,Distracted
1,7.88,0.8,Working
0,24.03,0.16,Idle
1,11.46,0.88,Distracted
1,16.13,0.74,Distracted
0,30.67,0.3,Idle
1,4.54,0.57,Distracted
1,2.85,0.56,Distracted
0,31.06,0.13,Idle
1,22.07,0.79,Distracted
0,34.45,0.15,Idle
1,19.36,0.8,Distracted
1,16.5,0.96,Distracted
1,4.4,0.52,Distracted
1,28.09,0.67,Distracted
1,7.68,0.78,Working
1,24.7,0.69,Distracted
1,25.16,0.81,Distracted
1,17.27,0.76,Distracted
0,22.24,0.4,Idle
1,16.92,0.91,Distracted
1,1.31,0.56,Working
1,2.03,0.83,Working
1,11.33,0.51,Distracted
1,22.03,0.85,Distracted
1,2.15,0.43,Distracted
1,18.51,0.91,Distracted
1,19.2,0.63,Distracted
1,15.81,0.84,Distracted
1,5.13,0.94,Working
1,10.87,0.83,Distracted
0,39.44,0.25,Idle
1,15.54,0.5,Distracted
1,14.8,0.89,Distracted
1,26.53,0.52,Distracted
1,5.39,0.43,Distracted
1,4.04,0.98,Working
1,24.26,0.61,Distracted
1,19.83,0.52,Distracted
1,5.98,0.57,Distracted
1,24.26,0.43,Distracted
1,18.72,0.89,Distracted
1,13.97,0.42,Distracted
0,33.86,0.34,Idle
1,22.15,0.87,Distracted
1,25.19,0.9,Distracted
1,26.97,0.69,Distracted
1,3.38,0.58,Distracted
1,7.69,0.59,Distracted
1,14.35,0.88,Distracted
0,27.36,0.39,Idle
1,6.29,0.62,Distracted
1,2.19,0.62,Distracted
1,24.33,0.84,Distracted
1,1.65,0.63,Distracted
1,19.05,0.84,Distracted
1,5.2,0.44,Distracted
0,25.68,0.29,Idle
1,7.64,0.94,Distracted
0,38.67,0.3,Idle
0,34.77,0.39,Idle
1,21.66,0.49,Distracted
0,39.78,0.25,Idle
1,2.7,0.41,Distracted
1,10.3,0.41,Distracted
0,35.46,0.24,Idle
0,31.08,0.32,Idle
1,15.1,0.58,Distracted
1,16.93,0.63,Distracted
1,15.4,0.49,Distracted
1,22.4,0.46,Distracted
1,6.61,0.89,Working
1,3.19,0.54,Distracted
1,24.23,0.75,Distracted
1,11.22,0.68,Distracted
0,28.13,0.36,Idle
0,30.7,0.18,Idle
1,21.19,0.95,Distracted
1,10.71,0.5,Distracted
1,11.78,0.68,Working
1,11.17,0.86,Distracted
0,25.26,0.19,Idle
1,11.92,0.62,Distracted
1,26.54,0.93,Distracted
1,9.07,0.67,Distracted
0,30.18,0.33,Idle
1,19.23,0.63,Distracted
1,3.66,0.76,Working
1,19.71,0.98,Distracted
1,12.32,0.41,Distracted
1,22.83,0.71,Distracted
1,29.55,0.67,Distracted
1,11.16,0.8,Distracted
0,29.3,0.26,Idle
1,2.74,0.86,Working
1,13.55,0.71,Distracted
1,16.15,1.0,Distracted
1,11.09,0.52,Distracted
1,4.51,0.73,Working
0,35.85,0.17,Idle
1,2.98,0.52,Distracted
1,1.36,0.44,Distracted
1,11.01,0.75,Distracted
1,0.42,0.57,Distracted
1,14.68,0.57,Working
1,0.34,0.89,Working
1,0.96,0.62,Distracted
1,21.33,0.48,Distracted
1,11.19,0.91,Distracted
1,17.82,0.57,Distracted
1,12.74,0.75,Distracted
1,7.39,0.43,Distracted
1,4.36,0.68,Distracted
1,12.82,0.96,Distracted
1,22.21,0.76,Distracted
1,7.69,0.8,Working
1,5.94,0.63,Distracted
1,0.19,0.98,Working
1,15.25,0.5,Distracted
0,27.38,0.26,Idle
1,20.4,0.78,Distracted
1,9.41,0.94,Working
1,12.43,0.97,Distracted
1,10.24,0.98,Distracted
1,6.15,0.81,Working
1,22.66,0.98,Distracted
1,16.67,0.77,Distracted
0,30.35,0.19,Idle
1,26.77,0.7,Distracted
0,34.26,0.34,Idle
1,28.5,0.85,Distracted
1,6.8,0.79,Working
1,2.1,0.54,Distracted
1,9.05,0.87,Distracted
1,6.9,0.67,Distracted
0,22.68,0.34,Idle
1,0.53,0.45,Distracted
1,7.9,0.52,Distracted
1,24.36,0.99,Distracted
1,25.59,0.52,Distracted
1,17.54,0.58,Distracted
1,24.63,0.54,Distracted
1,12.25,0.44,Distracted
